time,station,uid,pm2.5,pm10,no2
2026-02-19 18:00:00,"Str Prelungirea Liliacului, Constanţa, Romania",4174,0.0,11.0,17.7
2026-02-19 18:00:00,"Calea Bucureşti, Braşov, Romania",6843,0.0,23.0,39.9
2026-02-19 18:00:00,"Beograd Oml. brigada, Serbia",9261,55.0,30.0,16.6
2026-02-19 18:00:00,"Miskolc Alföldi, Miskolc, Hungary",8649,95.0,32.0,0.0
2026-02-19 18:00:00,"Centar, Obrenovac, Serbia",8096,48.0,16.0,5.8
2026-02-19 18:00:00,"Dumbierska, Kosice, Slovakia",3112,42.0,12.0,0.0
2026-02-19 18:00:00,"Nowiny ul. Parkowa, Poland",6550,0.0,61.0,21.3
2026-02-19 18:00:00,"str. Muncii, Turceni, Romania",7649,0.0,17.0,7.9
2026-02-19 18:00:00,"Čačak, Serbia",14558,76.0,40.0,19.2
2026-02-19 18:00:00,"Str. Teilor, Fieni, Romania",6852,0.0,16.0,18.1
2026-02-19 18:00:00,"Jarosław-PWSTE-WIOS, Poland",13040,106.0,45.0,0.0
2026-02-19 18:00:00,"Str. Lunca Oltului, Sfântu Gheorghe, Romania",8579,0.0,7.0,23.6
2026-02-19 18:00:00,"Str. Vasile Alecsandri, Târgu Jiu, Romania",8581,72.0,27.0,17.9
2026-02-19 18:00:00,"Biała Podlaska, Poland",6479,0.0,120.0,41.4
2026-02-19 18:00:00,"Str. Constructorilor, Rovinari, Romania",4176,76.0,29.0,13.6
2026-02-19 18:00:00,"Beograd Ada Marina, Serbia",14779,56.0,19.0,8.3
2026-02-19 18:00:00,"Str. Baile Jigodin, Miercurea Ciuc, Romania",7652,0.0,12.0,3.4
2026-02-19 18:00:00,"Str.Alexandru cel Bun, Siret, Romania",6875,0.0,22.0,11.1
2026-02-19 18:00:00,"DC-86, Năvodari, Romania",4172,0.0,15.0,13.8
2026-02-19 18:00:00,"Str. Domnească, Galaţi, Romania",8583,0.0,14.0,10.0
2026-02-19 18:00:00,"Hortobágy, Kunmadaras, Hungary",14674,0.0,3.0,0.0
2026-02-19 18:00:00,"Comuna Tetchea, Tetchea, Romania",6839,0.0,28.0,10.0
2026-02-19 18:00:00,"Oszlár, Oszlár, Hungary",3355,0.0,20.0,0.0
2026-02-19 18:00:00,"Kazincbarcika, Kazincbarcika, Hungary",3351,68.0,20.0,8.5
2026-02-19 18:00:00,"Nowy Sącz, Małopolska, Poland",3404,127.0,53.0,8.1
2026-02-19 18:00:00,"Str. Tudor Vladimirescu, Calarasi, Romania",6847,0.0,14.0,16.2
2026-02-19 18:00:00,"Beograd Mladenovac, Serbia",14784,58.0,36.0,9.8
2026-02-19 18:00:00,"Str. Hipodromului, Sibiu, Romania",6870,0.0,11.0,13.4
2026-02-19 18:00:00,"Szeged 2 Rózsa u., Szeged, Hungary",3337,42.0,19.0,8.5
2026-02-19 18:00:00,"Roosevelta, Żyrardów, Mazowieckie, Poland",3395,156.0,65.0,0.3
2026-02-19 18:00:00,"Com. Budeasa, Caloteşti, Romania",6833,0.0,13.0,6.0
2026-02-19 18:00:00,"Kragujevac, Serbia",14789,67.0,33.0,10.9
2026-02-19 18:00:00,"Meteo. st, Ganovce, Slovakia",3128,50.0,18.0,6.0
2026-02-19 18:00:00,"Miskolc Lavotta, Miskolc, Hungary",3353,0.0,30.0,0.0
2026-02-19 18:00:00,"Marszałkowska, Warszawa, Mazowieckie, Poland",3399,51.0,42.0,31.3
2026-02-19 18:00:00,"Ursynów, Warszawa, Mazowieckie, Poland",3392,37.0,20.0,25.4
2026-02-19 18:00:00,"Str. Gării, Mediaş, Romania",4187,0.0,19.0,27.4
2026-02-19 18:00:00,"Str. Rampei, Tarnaveni, Romania",6867,0.0,26.0,5.6
2026-02-19 18:00:00,"Aleea Castanilor, Copşa Mică, Romania",6871,0.0,38.0,13.2
2026-02-19 18:00:00,"Str. Carpati, Deva, Romania",7651,0.0,26.0,10.6
2026-02-19 18:00:00,"Str. Libertatii, Turnu Magurele, Romania",4161,0.0,7.0,5.6
2026-02-19 18:00:00,"Str. Victoriei, Piteşti, Romania",7644,49.0,13.0,24.6
2026-02-19 18:00:00,"Com. Oarja, Oarja, Romania",6834,0.0,9.0,15.6
2026-02-19 18:00:00,"Pančevo Starčevo, Serbia",8762,87.0,33.0,9.8
2026-02-19 18:00:00,"Mierova, Strazske, Slovakia",3123,63.0,19.0,15.1
